active (0|1|2)	sec (Sec001)	fileGlob	assgn(Lab01)	hwdirMain($HOME/homework/)	duedate (20140321)	acceptuntil (20140328)	mainScript	emailAdd	sheet# (0|1|2...)
1	Sec001	Lab01_1_5????????.c	Lab01_1	$HOME/homework/	20160113	20160115	hwCronMain.sh	kittipitch+112hw@gmail.com	0
1	Sec002	Lab01_1_5????????.c	Lab01_1	$HOME/homework/	20160113	20160115	hwCronMain.sh	kittipitch+112hw@gmail.com, ratsameetip@gmail.com	0
1	Sec003	Lab01_1_5????????.c	Lab01_1	$HOME/homework/	20160113	20160115	hwCronMain.sh	kittipitch+112hw@gmail.com	0
1	Sec001	Lab01_2_5????????.c	Lab01_2	$HOME/homework/	20160113	20160115	hwCronMain.sh	kittipitch+112hw@gmail.com	0
1	Sec002	Lab01_2_5????????.c	Lab01_2	$HOME/homework/	20160113	20160115	hwCronMain.sh	kittipitch+112hw@gmail.com, ratsameetip@gmail.com	0
1	Sec003	Lab01_2_5????????.c	Lab01_2	$HOME/homework/	20160113	20160115	hwCronMain.sh	kittipitch+112hw@gmail.com	0
1	Sec001	HW01_1_5????????.c	HW01_1	$HOME/homework/	20160113	20160115	hwCronMain.sh	kittipitch+112hw@gmail.com	0
1	Sec002	HW01_1_5????????.c	HW01_1	$HOME/homework/	20160113	20160115	hwCronMain.sh	kittipitch+112hw@gmail.com, ratsameetip@gmail.com	0
1	Sec003	HW01_1_5????????.c	HW01_1	$HOME/homework/	20160113	20160115	hwCronMain.sh	kittipitch+112hw@gmail.com	0
1	Sec001	HW01_2_5????????.c	HW01_2	$HOME/homework/	20160113	20160115	hwCronMain.sh	kittipitch+112hw@gmail.com	0
1	Sec002	HW01_2_5????????.c	HW01_2	$HOME/homework/	20160113	20160115	hwCronMain.sh	kittipitch+112hw@gmail.com, ratsameetip@gmail.com	0
1	Sec003	HW01_2_5????????.c	HW01_2	$HOME/homework/	20160113	20160115	hwCronMain.sh	kittipitch+112hw@gmail.com	0
1	Sec001	HW01_3_5????????.c	HW01_3	$HOME/homework/	20160113	20160115	hwCronMain.sh	kittipitch+112hw@gmail.com	0
1	Sec002	HW01_3_5????????.c	HW01_3	$HOME/homework/	20160113	20160115	hwCronMain.sh	kittipitch+112hw@gmail.com, ratsameetip@gmail.com	0
1	Sec003	HW01_3_5????????.c	HW01_3	$HOME/homework/	20160113	20160115	hwCronMain.sh	kittipitch+112hw@gmail.com	0
1	Sec001	Lab02_1_5????????.c	Lab02_1	$HOME/homework/	20160114	20160117	hwCronMain.sh	kittipitch+112hw@gmail.com	0
